Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                              342457             do_move [16]
                0.34    2.98    9287/9287        move [3]
[16]    17.1    0.34    2.98    9287+342457  do_move [16]
                0.80    0.06  180981/1771990     get_format_vector [13]
                0.54    0.04  110849/110849      get_size_struct [32]
                0.33    0.21  430858/3953463     is_valid_ptr [15]
                0.12    0.19  157501/157501      get_moveto_page [42]
                0.15    0.07  252978/252978      is_movable [43]
                0.05    0.06  308281/4918747     is_format_vector [22]
                0.04    0.06  110849/115360      page_alloc_struct [49]
                0.03    0.04  157501/157501      move_data_block [53]
                0.04    0.02  351744/1942753     is_been_visited [40]
                0.01    0.03   46652/47241       page_alloc_data [56]
                0.01    0.03  127300/1310570     is_data_size [36]
                0.01    0.01   46652/46652       get_data_size [63]
                0.01    0.00   95477/95477       set_been_visited [68]
                0.00    0.01   55303/55303       is_forward_address [69]
                0.00    0.00   55303/55303       get_forward_address [79]
                              342457             do_move [16]
-----------------------------------------------
                0.00    0.27      51/589         ioopm_inventory_replenish_new_shelf_stock [27]
                0.00    2.84     538/589         str_to_str [19]
[17]    16.0    0.00    3.11     589         h_alloc_data [17]
                0.00    3.11      75/467         h_gc [2]
                0.00    0.00     589/589         h_alloc_data_internal [75]
                0.00    0.00     589/6034        used_space [64]
                0.00    0.00      75/467         heap_has_room [98]
-----------------------------------------------
                0.00    0.00       1/888         ask_question_int [74]
                0.00    0.16      51/888         ioopm_ask_new_shelf [46]
                0.00    0.32      99/888         ioopm_ask_new_inventory_merch [25]
                0.00    0.32      99/888         ioopm_ask_existing_inventory_merch [41]
                0.00    0.48     150/888         ask_question_u_int [35]
                0.00    0.64     199/888         ioopm_ask_menu [30]
                0.00    0.93     289/888         ask_question_string [26]
[18]    14.7    0.00    2.84     888         ask_question [18]
                0.00    2.84     538/538         str_to_str [19]
                0.00    0.00     946/946         read_string [96]
                0.00    0.00     350/350         str_to_int [100]
                0.00    0.00     289/289         not_empty_ [102]
                0.00    0.00     199/199         is_menu_choice [105]
                0.00    0.00     157/157         is_existing_inv_merch [106]
                0.00    0.00     150/150         is_pos_number_ [108]
                0.00    0.00      99/99          is_new_inv_merch [110]
                0.00    0.00      51/51          is_new_shelf [114]
                0.00    0.00       1/1           is_number_ [129]
-----------------------------------------------
                0.00    2.84     538/538         ask_question [18]
[19]    14.7    0.00    2.84     538         str_to_str [19]
                0.00    2.84     538/589         h_alloc_data [17]
-----------------------------------------------
                0.00    2.02      99/99          event_loop [4]
[20]    10.4    0.00    2.02      99         TUI_inventory_add_merch [20]
                0.00    1.07      99/99          ioopm_inventory_add_merchandise [24]
                0.00    0.95      99/99          ioopm_ask_new_inventory_merch [25]
                0.00    0.00      99/355         ioopm_hash_table_has_key [99]
-----------------------------------------------
                0.00    0.00   54248/22906112     move [3]
                0.01    0.00  157501/22906112     move_data_block [53]
                0.06    0.01  831337/22906112     is_movable [43]
                1.71    0.18 21863026/22906112     is_valid_ptr [15]
[21]    10.2    1.79    0.19 22906112         is_ptr_to_page [21]
                0.19    0.00 3324907/3324907     get_bit_alloc_map [45]
-----------------------------------------------
                0.02    0.02  110849/4918747     get_size_struct [32]
                0.05    0.06  308281/4918747     do_move [16]
                0.27    0.36 1771990/4918747     get_format_vector [13]
                0.41    0.55 2727627/4918747     reset_all_been_visited [6]
[22]     8.9    0.74    0.99 4918747         is_format_vector [22]
                0.75    0.24 4918747/6284620     get_data_id [23]
-----------------------------------------------
                0.01    0.00   55303/6284620     is_forward_address [69]
