Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.08% of 12.00 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00   12.00                 main [1]
                0.00   11.94       1/1           event_loop [3]
                0.00    0.05       1/1           ioopm_inventory_load [55]
                0.00    0.00       1/201         ioopm_linked_list_create [31]
                0.00    0.00       1/1           destroy_carts [73]
                0.00    0.00       1/1           h_init [124]
                0.00    0.00       1/1           ioopm_inventory_save [127]
                0.00    0.00       1/1           h_delete [122]
-----------------------------------------------
                0.00    1.92      75/467         h_alloc_data [17]
                0.00   10.03     392/467         h_alloc_struct [5]
[2]     99.6    0.00   11.95     467         h_gc [2]
                0.00   11.91     467/467         move [4]
                0.00    0.04     467/467         get_valid_ptrs [58]
                0.00    0.00     934/934         h_used [72]
-----------------------------------------------
                0.00   11.94       1/1           main [1]
[3]     99.5    0.00   11.94       1         event_loop [3]
                0.00    5.68      51/51          TUI_inventory_replenish_stock [12]
                0.00    4.58      48/48          TUI_inventory_remove_merch [14]
                0.00    1.25      99/99          TUI_inventory_add_merch [20]
                0.00    0.39     199/199         ioopm_ask_menu [33]
                0.00    0.03      15/3939        ioopm_linked_list_append [8]
                0.00    0.00       1/1           ioopm_ask_admin_access [71]
                0.00    0.00       1/201         ioopm_linked_list_create [31]
-----------------------------------------------
                0.00   11.91     467/467         h_gc [2]
[4]     99.2    0.00   11.91     467         move [4]
                1.95    7.62    9287/9287        reset_all_been_visited [6]
                0.40    1.69    9287/9287        do_move [15]
                0.25    0.00    2365/2365        make_passive [39]
                0.00    0.00   54248/22906112     is_ptr_to_page [16]
                0.00    0.00     467/467         get_passive_pages [77]
                0.00    0.00     467/467         get_active_pages [76]
-----------------------------------------------
                0.00    0.00       1/4511        ioopm_hash_table_create_spec [56]
                0.00    0.00       1/4511        ioopm_inventory_create [54]
                0.00    0.04      20/4511        set_NO_buckets [57]
                0.00    0.11      51/4511        ioopm_inventory_replenish_new_shelf_stock [29]
                0.00    0.22      99/4511        entry_create [42]
                0.00    0.22      99/4511        create_merchandise [32]
                0.00    0.22     100/4511        ioopm_list_iterator [41]
                0.00    0.45     201/4511        ioopm_linked_list_create [31]
                0.00    8.79    3939/4511        create_link [9]
[5]     83.9    0.00   10.07    4511         h_alloc_struct [5]
                0.00   10.03     392/467         h_gc [2]
                0.01    0.00    4511/6034        used_space [63]
                0.00    0.02    4511/4511        h_alloc_struct_internal [64]
                0.00    0.00    4511/4511        handle_input [87]
                0.00    0.00    4511/4511        get_size_of_struct [86]
                0.00    0.00     392/467         heap_has_room [98]
-----------------------------------------------
                             2718340             reset_all_been_visited [6]
                1.95    7.62    9287/9287        move [4]
[6]     79.7    1.95    7.62    9287+2718340 reset_all_been_visited [6]
                2.77    1.69 3513318/3953463     is_valid_ptr [13]
                0.35    0.50 2727627/3035908     is_format_vector [21]
                0.68    0.00 1591009/1771990     get_size_format_vector [23]
                0.46    0.18 2727627/2727627     reset_been_visited [25]
                0.19    0.21 1136618/1310570     is_data_size [30]
                0.31    0.00 4432928/5292131     get_format_vector_idx [35]
                0.18    0.10 1591009/1942753     is_been_visited [36]
                             2718340             reset_all_been_visited [6]
-----------------------------------------------
                0.00    4.49      48/99          TUI_inventory_remove_merch [14]
                0.00    4.77      51/99          TUI_inventory_replenish_stock [12]
[7]     77.1    0.00    9.25      99         TUI_inventory_list_merch [7]
                0.00    8.76      99/99          ioopm_inventory_get_merchandise_list [11]
                0.00    0.27     138/189         ioopm_ask_question_string [34]
                0.00    0.22      99/100         ioopm_list_iterator [41]
                0.00    0.00    3822/3822        ioopm_iterator_current [92]
                0.00    0.00    3822/3873        ioopm_hash_table_lookup [91]
                0.00    0.00    3822/3822        ioopm_iterator_has_next [93]
                0.00    0.00    3723/3723        ioopm_iterator_next [94]
                0.00    0.00      99/99          ioopm_linked_list_is_empty [109]
-----------------------------------------------
                0.00    0.03      15/3939        event_loop [3]
                0.00    0.23     102/3939        ioopm_inventory_replenish_new_shelf_stock [29]
                0.01    8.53    3822/3939        ioopm_hash_table_keys [10]
[8]     73.3    0.01    8.79    3939         ioopm_linked_list_append [8]
                0.00    8.79    3939/3939        create_link [9]
-----------------------------------------------
                0.00    8.79    3939/3939        ioopm_linked_list_append [8]
[9]     73.2    0.00    8.79    3939         create_link [9]
                0.00    8.79    3939/4511        h_alloc_struct [5]
-----------------------------------------------
                0.00    8.76      99/99          ioopm_inventory_get_merchandise_list [11]
[10]    73.0    0.00    8.76      99         ioopm_hash_table_keys [10]
                0.01    8.53    3822/3939        ioopm_linked_list_append [8]
                0.00    0.22      99/201         ioopm_linked_list_create [31]
                0.00    0.00    1881/6754        get_sentinel_bucket [84]
-----------------------------------------------
                0.00    8.76      99/99          TUI_inventory_list_merch [7]
[11]    73.0    0.00    8.76      99         ioopm_inventory_get_merchandise_list [11]
                0.00    8.76      99/99          ioopm_hash_table_keys [10]
-----------------------------------------------
                0.00    5.68      51/51          event_loop [3]
[12]    47.3    0.00    5.68      51         TUI_inventory_replenish_stock [12]
                0.00    4.77      51/99          TUI_inventory_list_merch [7]
                0.00    0.51      51/51          ioopm_inventory_replenish_new_shelf_stock [29]
                0.00    0.10      51/189         ioopm_ask_question_string [34]
                0.00    0.10      51/51          ioopm_ask_new_shelf [49]
                0.00    0.10      51/51          ioopm_ask_question_u_int [50]
                0.00    0.10      51/99          ioopm_ask_existing_inventory_merch [45]
                0.00    0.00      51/51          ioopm_hash_table_is_empty [112]
-----------------------------------------------
                0.01    0.00    9287/3953463     get_valid_ptrs [58]
                0.34    0.21  430858/3953463     do_move [15]
                2.77    1.69 3513318/3953463     reset_all_been_visited [6]
[13]    41.8    3.12    1.90 3953463         is_valid_ptr [13]
                1.63    0.27 21863026/22906112     is_ptr_to_page [16]
-----------------------------------------------
                0.00    4.58      48/48          event_loop [3]
[14]    38.2    0.00    4.58      48         TUI_inventory_remove_merch [14]
                0.00    4.49      48/99          TUI_inventory_list_merch [7]
                0.00    0.09      48/99          ioopm_ask_existing_inventory_merch [45]
                0.00    0.00      48/48          ioopm_inventory_remove_merchandise [118]
-----------------------------------------------
                              342457             do_move [15]
                0.40    1.69    9287/9287        move [4]
[15]    17.4    0.40    1.69    9287+342457  do_move [15]
                0.34    0.21  430858/3953463     is_valid_ptr [13]
                0.16    0.07  252978/252978      is_movable [40]
                0.04    0.16  110849/115360      page_alloc_struct [44]
                0.09    0.10  157501/157501      get_moveto_page [46]
                0.04    0.06  308281/3035908     is_format_vector [21]
                0.08    0.00  180981/1771990     get_size_format_vector [23]
                0.02    0.05   46652/47241       page_alloc_data [52]
                0.04    0.02  351744/1942753     is_been_visited [36]
                0.06    0.00  859203/5292131     get_format_vector_idx [35]
                0.02    0.02  127300/1310570     is_data_size [30]
                0.02    0.02   46652/46652       get_data_size [59]
                0.01    0.02  157501/157501      move_data_block [60]
                0.01    0.01   95477/95477       set_been_visited [65]
                0.00    0.01   55303/55303       is_forward_address [66]
                0.01    0.00   55303/55303       get_forward_address [69]
                              342457             do_move [15]
-----------------------------------------------
                0.00    0.00   54248/22906112     move [4]
                0.01    0.00  157501/22906112     move_data_block [60]
                0.06    0.01  831337/22906112     is_movable [40]
                1.63    0.27 21863026/22906112     is_valid_ptr [13]
[16]    16.6    1.71    0.28 22906112         is_ptr_to_page [16]
                0.28    0.00 3324907/3324907     get_bit_alloc_map [38]
-----------------------------------------------
                0.00    0.17      51/589         ioopm_inventory_replenish_new_shelf_stock [29]
                0.00    1.76     538/589         str_to_str [19]
[17]    16.0    0.00    1.92     589         h_alloc_data [17]
                0.00    1.92      75/467         h_gc [2]
                0.00    0.00     589/6034        used_space [63]
                0.00    0.00     589/589         h_alloc_data_internal [75]
                0.00    0.00      75/467         heap_has_room [98]
-----------------------------------------------
                0.00    0.00       1/888         ask_question_int [74]
                0.00    0.10      51/888         ioopm_ask_new_shelf [49]
                0.00    0.20      99/888         ioopm_ask_new_inventory_merch [27]
                0.00    0.20      99/888         ioopm_ask_existing_inventory_merch [45]
                0.00    0.30     150/888         ask_question_u_int [37]
                0.00    0.39     199/888         ioopm_ask_menu [33]
                0.00    0.57     289/888         ask_question_string [28]
[18]    14.6    0.00    1.76     888         ask_question [18]
                0.00    1.76     538/538         str_to_str [19]
                0.00    0.00     946/946         read_string [96]
                0.00    0.00     350/350         str_to_int [100]
                0.00    0.00     289/289         not_empty_ [102]
                0.00    0.00     199/199         is_menu_choice [105]
                0.00    0.00     157/157         is_existing_inv_merch [106]
                0.00    0.00     150/150         is_pos_number_ [108]
                0.00    0.00      99/99          is_new_inv_merch [110]
